Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-06 09:44:01,2025-01-06 12:19:14,2025-01-06,Long,6044.25,6058.10,692.48,Profit,155,false,53.76,26.02,17.51,Up,Very Strong,true,true,false,6043.43,6035.61,6027.80,Above Upper,6046.99,6024.24,0.0038,true,Normal,5.21
2025-01-06 14:05:01,2025-01-06 14:23:00,2025-01-06,Short,6018.50,6025.00,-325.00,Loss,17,false,45.47,13.14,29.70,Down,Strong,true,false,true,6032.94,6027.24,6021.54,Below Lower,6036.48,6017.99,0.0031,true,Normal,3.80
2025-01-07 10:02:01,2025-01-07 10:27:00,2025-01-07,Short,6008.00,6011.75,-187.50,Loss,24,false,24.73,9.87,48.71,Doji,Weak,false,false,true,6039.69,6032.41,6025.14,Below Lower,6050.00,6014.82,0.0058,true,Normal,4.85
2025-01-07 10:27:01,2025-01-07 10:28:00,2025-01-07,Long,6011.75,6009.50,-112.50,Loss,0,true,38.74,22.64,19.07,Up,Strong,true,true,false,6008.45,6000.25,5992.05,Above Upper,6012.20,5988.30,0.0040,true,Normal,5.46
2025-01-07 10:40:01,2025-01-07 10:57:00,2025-01-07,Short,5976.50,5992.00,-775.00,Loss,16,false,35.47,9.79,35.62,Down,Strong,true,false,true,6006.97,5997.60,5988.23,Below Lower,6017.87,5977.33,0.0068,true,Normal,6.25
2025-01-07 11:00:01,2025-01-07 11:16:00,2025-01-07,Long,6001.50,5991.75,-487.50,Loss,15,false,52.18,31.60,12.94,Up,Very Strong,true,true,false,5991.78,5983.84,5975.90,Above Upper,6002.25,5965.42,0.0062,true,Normal,5.29
2025-01-07 13:03:01,2025-01-07 13:41:00,2025-01-07,Long,5978.25,5977.75,-25.00,Loss,37,false,38.89,24.71,11.30,Up,Strong,true,true,false,5975.68,5970.45,5965.22,Above Upper,5979.76,5961.14,0.0031,true,Normal,3.48
2025-01-08 09:34:01,2025-01-08 09:52:00,2025-01-08,Short,5944.00,5950.50,-325.00,Loss,17,false,19.20,16.13,17.03,Doji,Weak,false,false,true,5957.34,5950.86,5944.39,Below Lower,5956.79,5944.93,0.0020,true,Normal,4.32
2025-01-08 10:15:01,2025-01-08 10:36:00,2025-01-08,Short,5930.50,5940.50,-500.00,Loss,20,false,22.32,10.26,28.39,Doji,Weak,false,false,true,5952.29,5943.10,5933.91,Below Lower,5957.25,5928.95,0.0048,true,Normal,6.13
2025-01-08 10:38:01,2025-01-08 10:47:00,2025-01-08,Long,5946.00,5937.75,-412.50,Loss,8,true,31.33,23.12,12.34,Up,Strong,true,true,false,5943.39,5934.95,5926.51,Above Upper,5945.05,5924.85,0.0034,true,Normal,5.63
2025-01-08 12:29:01,2025-01-08 12:53:00,2025-01-08,Short,5923.75,5933.00,-462.50,Loss,23,false,71.16,5.17,45.20,Down,Very Strong,true,false,true,5941.67,5935.90,5930.13,Below Lower,5947.61,5924.19,0.0039,true,Normal,3.85
2025-01-08 13:05:01,2025-01-08 13:52:00,2025-01-08,Long,5946.25,5947.00,37.50,Profit,46,false,59.13,29.77,6.29,Up,Very Strong,true,true,false,5940.82,5934.48,5928.13,Above Upper,5947.31,5921.64,0.0043,true,Normal,4.23
2025-01-08 14:09:01,2025-01-08 14:37:00,2025-01-08,Long,5957.75,5953.75,-200.00,Loss,27,false,37.69,33.33,15.65,Up,Strong,true,true,false,5952.02,5945.11,5938.21,Above Upper,5957.38,5932.85,0.0041,true,Normal,4.60
2025-01-08 14:41:01,2025-01-08 15:05:00,2025-01-08,Short,5952.50,5955.00,-125.00,Loss,23,false,29.54,13.68,28.51,Down,Strong,true,false,true,5966.77,5960.18,5953.58,Below Lower,5970.79,5949.56,0.0036,true,Normal,4.40
2025-01-10 09:40:01,2025-01-10 10:38:17,2025-01-10,Short,5900.75,5887.55,659.85,Profit,58,false,27.81,14.76,31.49,Down,Strong,true,false,true,5919.98,5911.51,5903.05,Below Lower,5923.45,5899.57,0.0040,true,Normal,5.64
