Timestamp,Timestamp_ET,Order_Type,Entry_Type,Status,Low,High,Entry_Point,Stop_Loss,Take_Profit,Profit_Multiplier,Risk_Dollars,Contracts,At_Risk,Potential,Placed_Timestamp,Placed_Timestamp_ET,Filled_Timestamp,Filled_Timestamp_ET,Close_Timestamp,Close_Timestamp_ET,Cancel_Reason
1728568440000,2024-10-10 13:54:00,Long,EngulfingOrderBlock,Cancelled,5819.25,5821.0,5821.0,5819.25,5824.5,2.0,550.0,62,542.5,1085.0,1728568500000,2024-10-10 13:55:00,,,1728568620000,2024-10-10 13:57:00,A full candle fell outside the range of the order.
1728568560000,2024-10-10 13:56:00,Long,EngulfingOrderBlock,Loss,5822.75,5825.0,5825.0,5822.75,5829.5,2.0,550.0,48,540.0,1080.0,1728568680000,2024-10-10 13:58:00,1728568920000,2024-10-10 14:02:00,1728568920000,2024-10-10 14:02:00,
1728568800000,2024-10-10 14:00:00,Short,EngulfingOrderBlock,Cancelled,5827.5,5830.0,5827.5,5830.0,5822.5,2.0,550.0,44,550.0,1100.0,,,,,1728569100000,2024-10-10 14:05:00,More than ten minutes have passed and the candle wicked outside the order.
1728573780000,2024-10-10 15:23:00,Short,EngulfingOrderBlock,Loss,5820.5,5821.75,5820.5,5821.75,5818.0,2.0,550.0,88,550.0,1100.0,1728573840000,2024-10-10 15:24:00,1728573840000,2024-10-10 15:24:00,1728574200000,2024-10-10 15:30:00,
1728574440000,2024-10-10 15:34:00,Short,EngulfingOrderBlock,Loss,5822.25,5823.25,5822.25,5823.25,5820.25,2.0,550.0,110,550.0,1100.0,1728574560000,2024-10-10 15:36:00,1728574680000,2024-10-10 15:38:00,1728574740000,2024-10-10 15:39:00,
1728639300000,2024-10-11 09:35:00,Short,EngulfingOrderBlock,Loss,5833.25,5836.5,5833.25,5836.5,5826.75,2.0,550.0,33,536.25,1072.5,1728639360000,2024-10-11 09:36:00,1728639420000,2024-10-11 09:37:00,1728640020000,2024-10-11 09:47:00,
1728642000000,2024-10-11 10:20:00,Short,EngulfingOrderBlock,Loss,5859.0,5860.75,5859.0,5860.75,5855.5,2.0,550.0,62,542.5,1085.0,1728642060000,2024-10-11 10:21:00,1728642120000,2024-10-11 10:22:00,1728642300000,2024-10-11 10:25:00,
1728642540000,2024-10-11 10:29:00,Short,EngulfingOrderBlock,Profit,5864.25,5865.75,5864.25,5865.75,5861.25,2.0,550.0,73,547.5,1095.0,1728642660000,2024-10-11 10:31:00,1728642660000,2024-10-11 10:31:00,1728642660000,2024-10-11 10:31:00,
1728644100000,2024-10-11 10:55:00,Long,EngulfingOrderBlock,Profit,5853.25,5856.0,5856.0,5853.25,5861.5,2.0,550.0,40,550.0,1100.0,1728644160000,2024-10-11 10:56:00,1728644340000,2024-10-11 10:59:00,1728644880000,2024-10-11 11:08:00,
1728648000000,2024-10-11 12:00:00,Short,EngulfingOrderBlock,Profit,5860.5,5861.5,5860.5,5861.5,5858.5,2.0,550.0,110,550.0,1100.0,1728648060000,2024-10-11 12:01:00,1728648060000,2024-10-11 12:01:00,1728648120000,2024-10-11 12:02:00,
1728650940000,2024-10-11 12:49:00,Long,EngulfingOrderBlock,Loss,5846.25,5848.25,5848.25,5846.25,5852.25,2.0,550.0,55,550.0,1100.0,1728651000000,2024-10-11 12:50:00,1728651240000,2024-10-11 12:54:00,1728651240000,2024-10-11 12:54:00,
1728651660000,2024-10-11 13:01:00,Short,EngulfingOrderBlock,Profit,5853.5,5855.5,5853.5,5855.5,5849.5,2.0,550.0,55,550.0,1100.0,1728651720000,2024-10-11 13:02:00,1728651720000,2024-10-11 13:02:00,1728652020000,2024-10-11 13:07:00,
